"psu","sp.map","county","spid","segment","vit1","vit1a.1","vit1a.2","vit1a.3","vit1a.4","vit1a.5","vit1a.6","vit1a.7","vit1a.8","vit1a.9","vit1a.10","vit1a.11","vit2"
"117050","117",1,17,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"117050","117",1,17,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"117050","117",1,17,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122064","122",1,22,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122064","122",1,22,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"117049","117",1,17,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122064","122",1,22,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122064","122",1,22,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"117049","117",1,17,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122064","122",1,22,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"117049","117",1,17,49,0,0,0,0,0,1,0,0,0,0,0,0,0
"122064","122",1,22,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"117049","117",1,17,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122064","122",1,22,64,0,0,0,0,0,1,0,0,0,0,0,0,0
"117049","117",1,17,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122064","122",1,22,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"117049","117",1,17,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122064","122",1,22,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"117049","117",1,17,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122064","122",1,22,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"117049","117",1,17,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127078","127",1,27,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127078","127",1,27,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127078","127",1,27,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"117049","117",1,17,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127078","127",1,27,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"117049","117",1,17,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127078","127",1,27,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"128081","128",1,28,81,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127078","127",1,27,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127078","127",1,27,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127080","127",1,27,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,0,0,0,0,0,1,0,0,0,0,0,0,0
"127080","127",1,27,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,0,0,0,0,0,1,0,0,0,0,0,0,0
"127080","127",1,27,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127080","127",1,27,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127080","127",1,27,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127080","127",1,27,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127080","127",1,27,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127080","127",1,27,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127080","127",1,27,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127080","127",1,27,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122065","122",1,22,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127080","127",1,27,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122066","122",1,22,66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122066","122",1,22,66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122066","122",1,22,66,0,0,0,0,0,1,0,0,0,0,0,0,0
"122066","122",1,22,66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122066","122",1,22,66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122066","122",1,22,66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122066","122",1,22,66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"127079","127",1,27,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127079","127",1,27,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"127079","127",1,27,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127079","127",1,27,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127079","127",1,27,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127079","127",1,27,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"127079","127",1,27,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126077","126",1,26,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126077","126",1,26,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126077","126",1,26,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126077","126",1,26,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126077","126",1,26,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126077","126",1,26,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126077","126",1,26,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126077","126",1,26,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126077","126",1,26,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"115043","115",1,15,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"115043","115",1,15,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"115043","115",1,15,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"115043","115",1,15,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"111032","111",1,11,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"111032","111",1,11,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"111032","111",1,11,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"130088","130",1,30,88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"130088","130",1,30,88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"130088","130",1,30,88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"130088","130",1,30,88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"130088","130",1,30,88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"130088","130",1,30,88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"130088","130",1,30,88,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"130088","130",1,30,88,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
"130088","130",1,30,88,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"130088","130",1,30,88,0,0,0,0,0,0,0,0,1,0,0,0,0
"130088","130",1,30,88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"130088","130",1,30,88,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
"107021","107",1,7,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"116048","116",1,16,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116047","116",1,16,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"116047","116",1,16,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116047","116",1,16,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116048","116",1,16,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116046","116",1,16,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116046","116",1,16,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116048","116",1,16,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116046","116",1,16,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"116046","116",1,16,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116046","116",1,16,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116048","116",1,16,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116047","116",1,16,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"126076","126",1,26,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"126075","126",1,26,75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126075","126",1,26,75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126076","126",1,26,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126075","126",1,26,75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126076","126",1,26,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126075","126",1,26,75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126076","126",1,26,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126076","126",1,26,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126075","126",1,26,75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126075","126",1,26,75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126076","126",1,26,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126076","126",1,26,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126076","126",1,26,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126076","126",1,26,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119055","119",1,19,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119055","119",1,19,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119055","119",1,19,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119055","119",1,19,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119055","119",1,19,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"119055","119",1,19,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119055","119",1,19,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119055","119",1,19,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123068","123",1,23,68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"123068","123",1,23,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123069","123",1,23,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123069","123",1,23,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123069","123",1,23,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123069","123",1,23,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"123069","123",1,23,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123069","123",1,23,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119057","119",1,19,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119057","119",1,19,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119057","119",1,19,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119057","119",1,19,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119057","119",1,19,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119057","119",1,19,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119057","119",1,19,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119056","119",1,19,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119056","119",1,19,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119056","119",1,19,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119056","119",1,19,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"119056","119",1,19,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119056","119",1,19,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119056","119",1,19,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119056","119",1,19,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"118053","118",1,18,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123067","123",1,23,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123067","123",1,23,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123067","123",1,23,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123067","123",1,23,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123067","123",1,23,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123067","123",1,23,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123067","123",1,23,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123067","123",1,23,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"123067","123",1,23,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207079","207",2,7,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207079","207",2,7,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207079","207",2,7,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207079","207",2,7,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207079","207",2,7,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207079","207",2,7,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207079","207",2,7,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207079","207",2,7,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"207079","207",2,7,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207079","207",2,7,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207079","207",2,7,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207080","207",2,7,80,0,0,0,0,0,0,0,0,1,0,0,0,0
"207081","207",2,7,81,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"207083","207",2,7,83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"207078","207",2,7,78,0,0,0,0,0,0,0,0,1,0,0,0,0
"202026","202",2,2,26,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
"202025","202",2,2,25,0,0,0,0,0,0,0,0,0,0,1,0,0
"202023","202",2,2,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"202025","202",2,2,25,0,0,0,0,0,0,1,0,0,0,0,0,0
"202022","202",2,2,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"202024","202",2,2,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"218228","218",2,18,228,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"218228","218",2,18,228,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"218227","218",2,18,227,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"218221","218",2,18,221,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"218230","218",2,18,230,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"220251","220",2,20,251,0,0,0,0,0,0,1,0,0,0,0,0,0
"220251","220",2,20,251,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"220254","220",2,20,254,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"220255","220",2,20,255,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"220256","220",2,20,256,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"220248","220",2,20,248,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"220248","220",2,20,248,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"212147","212",2,12,147,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"212149","212",2,12,149,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"212151","212",2,12,151,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"212154","212",2,12,154,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"212154","212",2,12,154,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"212152","212",2,12,152,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"212146","212",2,12,146,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"212143","212",2,12,143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"212153","212",2,12,153,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"220249","220",2,20,249,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"220249","220",2,20,249,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"202020","202",2,2,20,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"202020","202",2,2,20,0,0,0,0,0,0,0,0,0,0,1,0,0
"202016","202",2,2,16,0,0,0,0,0,0,0,0,0,0,1,0,0
"203034","203",2,3,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"203034","203",2,3,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"203028","203",2,3,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"202018","202",2,2,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"202018","202",2,2,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"202018","202",2,2,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"203036","203",2,3,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"203036","203",2,3,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"203036","203",2,3,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"203029","203",2,3,29,0,0,0,0,0,0,0,0,0,0,1,0,0
"203030","203",2,3,30,0,0,0,0,0,0,0,0,0,0,1,0,0
"203030","203",2,3,30,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"202021","202",2,2,21,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"202021","202",2,2,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"220252","220",2,20,252,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"211141","211",2,11,141,0,0,0,0,0,0,0,1,0,0,0,0,0
"211138","211",2,11,138,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"211142","211",2,11,142,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"211139","211",2,11,139,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"211139","211",2,11,139,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"220259","220",2,20,259,0,0,0,0,0,0,0,0,0,0,0,1,0
"210129","210",2,10,129,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"217208","217",2,17,208,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"217208","217",2,17,208,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
